user_id,name,age,gender,target_gender,location,occupation,anxiety,avoidance,Lifestyle,Arts & Creativity,Music,Movies & Shows,Intellectual & Learning,Food & Drinks,Sports & Outdoor,Gaming & Digital,Travel & Culture,Personality & Values,Relationship Intent
1.0,Nethmi Bandara,37.0,Female,Male,Gampaha,Construction Worker,4.09,6.57,"[""Night Owl"", ""Meditation""]","[""Filmmaking"", ""Graphic Design"", ""Poetry"", ""Interior Design""]","[""Indie""]","[""Documentaries"", ""Horror"", ""Anime"", ""Sitcoms""]","[""Self-Improvement""]","[""Street Food"", ""Spicy Food"", ""Cooking"", ""Coffee""]","[""Surfing"", ""Football"", ""Adventure Sports""]","[""Web3"", ""Crypto""]","[""Museums"", ""Beaches"", ""Mountains"", ""Cultural Festivals""]","[""Atheist"", ""Feminist""]","[""Open Relationship""]"
2.0,Malith,32.0,Male,Female,Kandy,Accountant,3.96,4.88,"[""Traveling"", ""Vegan"", ""Digital Nomad""]","[""Interior Design""]","[""Singing"", ""K-Pop"", ""Rock""]","[""Horror"", ""Documentaries"", ""K-Dramas""]","[""Science"", ""Books & Reading"", ""Self-Improvement"", ""Philosophy""]","[""Street Food"", ""Spicy Food"", ""Craft Beer"", ""Fine Dining""]","[""Cricket"", ""Swimming"", ""Hiking"", ""Surfing""]","[""Console Gaming"", ""Board Games"", ""Mobile Gaming""]","[""Museums"", ""Languages""]","[""Feminist"", ""Family-Oriented"", ""Career-Focused"", ""Environmentalist""]","[""Marriage""]"
3.0,Isuru,25.0,Male,Female,Gampaha,Accountant,2.63,4.24,"[""Early Bird""]","[""Poetry""]","[""Hip-Hop"", ""EDM""]","[""Sci-Fi""]","[""Technology"", ""History"", ""Science""]","[""Coffee"", ""Cooking"", ""Baking"", ""Street Food""]","[""Surfing"", ""Cycling"", ""Swimming"", ""Football""]","[""Mobile Gaming"", ""Dungeons & Dragons""]","[""Beaches""]","[""Career-Focused"", ""Family-Oriented"", ""Spiritual""]","[""Long-Term Relationship""]"
4.0,Hashan,25.0,Male,Female,Badulla,Accountant,4.67,1.37,"[""Pet Lover"", ""Meditation"", ""Vegan""]","[""Filmmaking""]","[""Rock"", ""EDM"", ""Singing""]","[""Horror"", ""Sci-Fi""]","[""History"", ""AI & Machine Learning"", ""Technology"", ""Books & Reading""]","[""Street Food""]","[""Basketball"", ""Hiking"", ""Surfing"", ""Cycling""]","[""VR"", ""Console Gaming""]","[""Cultural Festivals"", ""Backpacking"", ""Road Trips"", ""Mountains""]","[""Environmentalist"", ""Politically Active""]","[""Open Relationship""]"
5.0,Supun,23.0,Male,Female,Kandy,Doctor,3.45,1.17,"[""Traveling"", ""Pet Lover""]","[""Filmmaking"", ""Interior Design"", ""DIY & Crafts""]","[""K-Pop"", ""Pop""]","[""Thriller"", ""Sitcoms"", ""Documentaries""]","[""Self-Improvement"", ""Psychology""]","[""Wine"", ""Baking"", ""Craft Beer""]","[""Hiking"", ""Basketball"", ""Surfing"", ""Camping""]","[""Board Games"", ""Console Gaming"", ""VR""]","[""Luxury Travel"", ""Museums"", ""Road Trips""]","[""Politically Active"", ""Spiritual""]","[""Casual Dating""]"
6.0,Chamodi,31.0,Female,Male,Hambantota,Chef,3.37,4.31,"[""Pet Lover""]","[""DIY & Crafts"", ""Writing"", ""Filmmaking"", ""Interior Design""]","[""Singing"", ""Hip-Hop""]","[""Horror""]","[""Philosophy"", ""Psychology"", ""Technology"", ""Startups""]","[""Spicy Food""]","[""Hiking"", ""Cycling""]","[""Web3""]","[""Museums"", ""Luxury Travel"", ""Cultural Festivals""]","[""Atheist""]","[""Still Figuring It Out""]"
7.0,Oshadi Hewage,34.0,Male,Female,Badulla,Chef,3.48,1.0,"[""Early Bird"", ""Meditation""]","[""Poetry"", ""Writing""]","[""Indie""]","[""Sitcoms"", ""Sci-Fi""]","[""History""]","[""Craft Beer"", ""Wine""]","[""Surfing"", ""Hiking"", ""Football"", ""Swimming""]","[""Crypto"", ""Console Gaming""]","[""Museums"", ""Luxury Travel"", ""Road Trips""]","[""Politically Active""]","[""Marriage""]"
8.0,Kalana Fernando,34.0,Male,Female,Hambantota,Journalist,3.75,5.86,"[""Early Bird"", ""Meditation"", ""Gym"", ""Nightlife""]","[""Painting"", ""Poetry"", ""Photography"", ""Graphic Design""]","[""K-Pop"", ""Hip-Hop""]","[""Sitcoms"", ""Romance"", ""Documentaries""]","[""Philosophy"", ""Technology""]","[""Wine"", ""Baking"", ""Fine Dining""]","[""Cycling"", ""Swimming"", ""Adventure Sports""]","[""Console Gaming"", ""Board Games""]","[""Beaches"", ""Backpacking""]","[""Career-Focused"", ""Family-Oriented""]","[""Casual Dating""]"
9.0,Vimukthi,20.0,Male,Female,Monaragala,Electrician,5.19,3.95,"[""Yoga""]","[""Interior Design"", ""Writing"", ""Painting"", ""Filmmaking""]","[""Rock""]","[""Sci-Fi"", ""Horror""]","[""AI & Machine Learning"", ""Science""]","[""Coffee"", ""Wine"", ""Fine Dining""]","[""Basketball"", ""Camping"", ""Cycling"", ""Swimming""]","[""Dungeons & Dragons"", ""Console Gaming"", ""PC Gaming"", ""eSports""]","[""Mountains"", ""Backpacking""]","[""Family-Oriented""]","[""Long-Term Relationship""]"
10.0,Malith Liyanage,35.0,Male,Female,Colombo,Bank Officer,3.55,3.33,"[""Fitness"", ""Vegetarian"", ""Vegan""]","[""Photography""]","[""Rock"", ""K-Pop"", ""Jazz"", ""EDM""]","[""Sitcoms""]","[""Technology""]","[""Coffee""]","[""Cycling"", ""Swimming""]","[""eSports""]","[""Beaches"", ""Road Trips"", ""Cultural Festivals""]","[""Career-Focused"", ""Family-Oriented"", ""Atheist"", ""Politically Active""]","[""Long-Term Relationship""]"
